No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
228,STLD,"Steel Dynamics, Inc.",17.54B,126.23,-0.82%,18.96B
229,L,Loews Corporation,17.51B,85.09,0.32%,18.11B
230,MGM,MGM Resorts International,17.24B,31.60,-1.30%,9.02B
231,VST,Vistra Corp.,17.22B,114.34,-1.96%,38.76B
232,ABG,"Asbury Automotive Group, Inc.",17.19B,259.02,-2.48%,5.09B
233,GWW,"W.W. Grainger, Inc.",17.17B,991.94,0.41%,47.83B
234,INTU,Intuit Inc.,17.17B,609.16,-0.57%,170.30B
235,GLP,Global Partners LP,17.16B,52.85,0.13%,1.79B
236,CTVA,"Corteva, Inc.",16.91B,60.60,-0.69%,41.54B
237,KSS,Kohl's Corporation,16.78B,11.46,3.61%,1.28B
238,BSX,Boston Scientific Corporation,16.75B,100.23,-2.96%,147.91B
239,ORLY,"O'Reilly Automotive, Inc.",16.71B,"1,329.76",-2.14%,76.16B
240,LDOS,"Leidos Holdings, Inc.",16.66B,132.37,3.55%,17.36B
241,MKL,Markel Group Inc.,16.62B,"1,894.40",-0.36%,24.19B
242,WHR,Whirlpool Corporation,16.61B,93.38,0.35%,5.17B
243,RCL,Royal Caribbean Cruises Ltd.,16.49B,211.50,-3.74%,56.92B
244,BLDR,"Builders FirstSource, Inc.",16.40B,134.52,-0.89%,15.28B
245,TRGP,Targa Resources Corp.,16.38B,181.87,-1.83%,39.67B
246,FLR,Fluor Corporation,16.32B,36.56,-2.08%,6.17B
247,ACM,AECOM,16.22B,96.60,-0.82%,12.82B
248,LRCX,Lam Research Corporation,16.21B,77.03,0.14%,98.88B
249,PFG,"Principal Financial Group, Inc.",16.13B,85.99,-2.83%,19.40B
250,RSG,"Republic Services, Inc.",16.03B,231.36,0.12%,72.25B
251,ITW,Illinois Tool Works Inc.,15.90B,265.71,2.68%,77.99B
252,PPG,"PPG Industries, Inc.",15.85B,114.57,-0.07%,26.00B
253,UHS,"Universal Health Services, Inc.",15.83B,175.25,-1.07%,11.39B
254,SATS,EchoStar Corporation,15.83B,28.39,-2.78%,8.13B
255,ECL,Ecolab Inc.,15.74B,266.98,0.45%,75.55B
256,OMC,Omnicom Group Inc.,15.69B,82.37,1.95%,16.18B
257,TXN,Texas Instruments Incorporated,15.64B,189.71,-1.05%,172.62B
258,X,United States Steel Corporation,15.64B,37.20,-2.80%,8.38B
259,WDC,Western Digital Corporation,15.60B,41.51,-1.06%,14.44B
260,KVUE,Kenvue Inc.,15.46B,23.05,1.21%,44.05B
261,LNG,"Cheniere Energy, Inc.",15.45B,215.52,0.20%,48.20B
262,IQV,IQVIA Holdings Inc.,15.41B,184.38,1.61%,32.51B
263,SWK,"Stanley Black & Decker, Inc.",15.37B,85.19,3.76%,13.15B
